time_stamp,loc_id,num_of_people
2017-11-01 00,1,552
2017-11-01 00,2,688
2017-11-01 00,3,122
2017-11-01 00,4,268
2017-11-01 00,5,148
2017-11-01 00,6,333
2017-11-01 00,7,173
2017-11-01 00,8,65
2017-11-01 00,9,518
2017-11-01 00,10,50
2017-11-01 00,11,366
2017-11-01 00,12,74
2017-11-01 00,13,42
2017-11-01 00,14,84
2017-11-01 00,15,12
2017-11-01 00,16,9
2017-11-01 00,17,491
2017-11-01 00,18,603
2017-11-01 00,19,338
2017-11-01 00,20,34
2017-11-01 00,21,591
2017-11-01 00,23,910
2017-11-01 00,24,4
2017-11-01 00,25,744
2017-11-01 00,26,37
2017-11-01 00,27,18
2017-11-01 00,28,297
2017-11-01 00,29,62
2017-11-01 00,30,556
2017-11-01 00,31,145
2017-11-01 00,32,24
2017-11-01 00,33,20
2017-11-01 01,1,366
2017-11-01 01,2,515
2017-11-01 01,3,99
2017-11-01 01,4,143
2017-11-01 01,5,184
2017-11-01 01,6,275
2017-11-01 01,7,81
2017-11-01 01,8,36
2017-11-01 01,9,318
2017-11-01 01,10,12
2017-11-01 01,11,241
2017-11-01 01,12,25
2017-11-01 01,13,33
2017-11-01 01,14,86
2017-11-01 01,15,12
2017-11-01 01,16,6
2017-11-01 01,17,414
2017-11-01 01,18,259
2017-11-01 01,19,145
2017-11-01 01,20,17
2017-11-01 01,21,555
2017-11-01 01,22,2
2017-11-01 01,23,738
2017-11-01 01,24,5
2017-11-01 01,25,484
2017-11-01 01,26,29
2017-11-01 01,27,13
2017-11-01 01,28,91
2017-11-01 01,29,13
2017-11-01 01,30,234
2017-11-01 01,31,89
2017-11-01 01,32,14
2017-11-01 01,33,14
2017-11-01 02,1,286
2017-11-01 02,2,508
2017-11-01 02,3,84
2017-11-01 02,4,69
2017-11-01 02,5,147
2017-11-01 02,6,473
2017-11-01 02,7,78
2017-11-01 02,8,70
2017-11-01 02,9,206
2017-11-01 02,10,4
2017-11-01 02,11,201
2017-11-01 02,12,33
2017-11-01 02,13,21
2017-11-01 02,14,80
2017-11-01 02,15,11
2017-11-01 02,16,7
2017-11-01 02,17,59
